Va,Vb,Vc,Ia,Ib,Ic,fault_type
-7.731815915,10226.61934,-12.42517985,1845.378198,64.84405347,2847.317368,PACTG
-7.843291549,10180.11521,-12.50747054,1826.18314,64.94365058,2837.327513,PACTG
-7.953617626,10132.74369,-12.58914807,1807.299965,65.03863561,2827.56219,PACTG
-8.063017626,10084.52031,-12.67004832,1788.53359,65.12782071,2817.8288,PACTG
-8.171815278,10035.43765,-12.74988634,1769.578939,65.2100683,2807.823784,PACTG
-8.280299256,9985.471641,-12.82836563,1750.143671,65.28481903,2797.254268,PACTG
-8.388603698,9934.59539,-12.90529321,1730.065629,65.35232914,2785.95537,PACTG
-8.49665203,9882.793961,-12.98065507,1709.378099,65.41352009,2773.95634,PACTG
-8.604186251,9830.073077,-13.05462096,1688.296918,65.46952476,2761.469146,PACTG
-8.710868575,9776.45791,-13.12747607,1667.134689,65.52114418,2748.804132,PACTG
-8.816414014,9721.982747,-13.19950559,1646.1765,65.56847493,2736.24643,PACTG
-8.920699905,9666.6767,-13.27087795,1625.566849,65.61088507,2723.942541,PACTG
-9.023809258,9610.552381,-13.34157315,1605.252903,65.647335,2711.842334,PACTG
-9.125991188,9553.60277,-13.41138619,1585.006653,65.67687942,2699.719631,PACTG
-9.227555746,9495.807547,-13.48000463,1564.516993,65.69911481,2687.263096,PACTG
-9.32874575,9437.145663,-13.54713059,1543.514812,65.71435888,2674.201096,PACTG
-9.429637519,9377.607959,-13.61259833,1521.881125,65.72347605,2660.410647,PACTG
-9.530109146,9317.203748,-13.67644031,1499.695075,65.72744603,2645.966925,PACTG
-9.629888204,9255.958381,-13.73887381,1477.202769,65.72689067,2631.113603,PACTG
-9.728658383,9193.90318,-13.80021309,1454.719517,65.7217801,2616.165896,PACTG
-9.826182154,9131.062692,-13.86074116,1432.504618,65.71145803,2601.385086,PACTG
-9.922390157,9067.445521,-13.9205929,1410.658723,65.69497501,2586.874672,PACTG
-10.01740293,9003.04316,-13.97969664,1389.084697,65.67155804,2572.539629,PACTG
-10.11147713,8937.837221,-14.03779915,1367.527502,65.64098415,2558.125021,PACTG
-10.20489906,8871.81142,-14.0945642,1345.67703,65.60368461,2543.318497,PACTG
-10.29786788,8804.962466,-14.1497061,1323.292754,65.56053043,2527.875671,PACTG
-10.39041522,8737.304497,-14.20310385,1300.300405,65.51239995,2511.718285,PACTG
-10.48239162,8668.864902,-14.25484979,1276.822147,65.45974655,2494.965925,PACTG
-10.57352457,8599.673673,-14.30521173,1253.128313,65.40238069,2477.888658,PACTG
-10.66352386,8529.751531,-14.35452382,1229.530106,65.33956538,2460.799574,PACTG
